"chas","nox","age","dis","rad","tax","ptratio","medv"
"0","0.538","96.9","3.7598","4","307","21","13.5"
"0","0.532","40.3","4.0983","24","666","20.2","21.8"
"0","0.489","86.3","3.4217","2","270","17.8","23.6"
"0","0.449","45.1","4.4272","3","247","18.5","22.5"
"0","null","88","2.5182","24","666","20.2","25"
"0","0.647","84.6","2.1329","5","264","13","30.7"
"0","0.538","88.8","4.4534","4","307","21","14.8"
"0","0.46","32.2","5.8736","4","430","16.9","19.8"
"0","0.584","95.4","2.4298","24","666","20.2","13.8"
"0","0.504","76.9","3.6715","8","307","17.4","31.7"
"0","0.442","49.3","7.0379","1","284","15.5","32.7"
"0","0.74","100","2.0048","24","666","20.2","18.4"
"0","0.624","97.9","2.3274","4","437","21.2","23"
"0","0.544","52.8","2.6403","4","304","18.4","22.1"
"0","0.499","61.4","3.3779","5","279","19.2","20"
"0","0.428","42.2","6.1899","6","300","16.6","23.3"
"0","0.403","13.9","7.6534","3","402","null","32.9"
"0","0.718","95.3","1.8746","24","666","20.2","14.2"
"0","0.401","18.8","6.2196","1","265","15.6","29.1"
"0","0.428","52.9","7.0355","6","300","16.6","22.2"
"1","0.55","92.4","3.3633","5","276","16.4","23"
"0","0.437","53.7","5.0141","5","398","18.7","21.2"
"1","0.631","96.8","null","24","666","20.2","50"
"0","0.4","20.1","7.8278","5","358","14.8","22.5"
"0","0.524","85.9","6.5921","5","311","15.2","18.9"
"0","0.614","85.1","2.0218","24","666","20.2","13.4"
